did,louvain_community
did:plc:t44lwtnu6ugg5ywm4ohq23xa,1
did:plc:woonrs42qnn5fiku657hnjzw,5
did:plc:4yb5k65ytgx57ggia7cbxju6,5
did:plc:ht3ruh74w6krts2fz4ir27pa,0
did:plc:bjohzt3fjpfpzudduo4mo5e4,1
did:plc:eguvpev7mdskbzfaaelqk7y6,5
did:plc:io4gsiqlsuo2hnc2ap43yymo,1
did:plc:tuxs46rncpoq3z6eyvfmhfnc,1
did:plc:2pdwbxbjzxvkkz6qyxs5rvnx,0
did:plc:mysxye325i2tcnnduw7tmdtr,1
did:plc:qst6cqkzukuiut2mabxyssgu,1
did:plc:dzaq5yz6wwnzmi4kdxam56ra,1
did:plc:oo2hbg4mfmhl6hey7hksnrek,5
did:plc:2g72wvrmzdfakrjq56d3lddj,1
did:plc:5sx4uxqvuiiqnvzi7rzihkaf,4
did:plc:mavdoxle737brhy24qj2xo2j,1
did:plc:wwqly2osxh34uwjb6on6ppdm,1
did:plc:oq654ekcnl5wiatziu5c2pnz,1
did:plc:xpedfvitjjgrs4mv5pwxoekw,4
did:plc:u7hez53np66gaz6p2aodiy6m,4
did:plc:2jz56k3tyc4nhz5n6dfhk4ux,4
did:plc:7l4nxlpgxipzp3fjk66stpu7,4
did:plc:7ctbnqyhy2mttt6b3xh252mx,1
did:plc:vasjpi2442szvrczytymfvxt,1
did:plc:xxc42jt7655wofezioowlcal,4
did:plc:xpvfolq34lq4d3hjt553fple,4
did:plc:yb5kooschqabtindrwfzwksa,4
did:plc:3r4ljzjpdr7rajzb3b5mi5fp,4
did:plc:nyl7o4k7qvjbcnvyap3bqzop,4
did:plc:55docof2krpcjha6uqjxwj5f,4
did:plc:3iazhgg6ba4lxv2r3hly3lvf,4
did:plc:dehqax3ea3k4fqnpzf6u5np3,4
did:plc:leshkmlftv6dvzz7czxufa6q,4
did:plc:uqjon6amgqigyqvqfmqlp5s4,4
did:plc:jycucino7yle5sxht6kkiz4w,4
